"entidad","municipio","causa","total_hectareas","fecha_termino"
"Puebla","Guadalupe Victoria","Actividades agropecuarias",9.85,2016-03-19
"Puebla","Lafragua","Intencional",1,2016-03-19
"Puebla","Atlixco","Intencional",1,2016-03-20
"Puebla","Tlachichuca","Intencional",10.6,2016-03-22
"Puebla","Tochimilco","Intencional",1,2016-03-22
"Puebla","Tlahuapan","Actividades agropecuarias",1,2016-03-22
"Puebla","Tepeyahualco","Intencional",10.1,2016-03-22
"Puebla","San Nicolás de los Ranchos","Intencional",23.2,2016-03-22
"Puebla","Chignautla","Fogatas",1,2016-03-23
"Puebla","Tepeyahualco","Intencional",7.8,2016-03-23
"Puebla","Ocotepec","Intencional",0.5,2016-03-23
"Puebla","Atlixco","Intencional",2.6,2016-03-24
"Puebla","Tlachichuca","Otras actividades productivas",1.2,2016-03-23
"Puebla","Chignautla","Intencional",0.75,2016-03-24
"Puebla","Calpan","Actividades agropecuarias",10.25,2016-03-24
"Puebla","Tepatlaxco de Hidalgo","Intencional",0.85,2016-03-24
"Puebla","Tlahuapan","Cazadores",1,2016-03-25
"Puebla","Calpan","Actividades agropecuarias",1,2016-03-25
"Puebla","Tlahuapan","Intencional",1,2016-03-25
"Puebla","Tlachichuca","Fogatas",96.9,2016-03-27
"Puebla","San Salvador el Verde","Cazadores",25,2016-03-27
"Puebla","Tetela de Ocampo","Intencional",11.8,2016-03-27
"Puebla","Tochimilco","Intencional",2.3,2016-03-27
"Puebla","Tepatlaxco de Hidalgo","Intencional",1.5,2016-03-26
"Puebla","Tlahuapan","Actividades agropecuarias",7.2,2016-03-26
"Puebla","Puebla","Intencional",0.75,2016-03-26
"Puebla","Tlachichuca","Actividades agropecuarias",1,2016-03-27
"Puebla","Chignautla","Fogatas",0.5,2016-03-27
"Puebla","San Nicolás de los Ranchos","Actividades agropecuarias",3.5,2016-03-28
"Puebla","Tlachichuca","Actividades agropecuarias",1.8,2016-03-28
"Puebla","Atlixco","Actividades agropecuarias",0.5,2016-03-28
"Puebla","Jolalpan","Actividades agropecuarias",34.95,2016-03-31
"Puebla","Puebla","Intencional",13.8,2016-03-29
"Puebla","Tlahuapan","Actividades agropecuarias",3.7,2016-03-29
"Puebla","Atlixco","Intencional",5.6,2016-03-29
"Puebla","San Nicolás de los Ranchos","Actividades agropecuarias",1,2016-03-29
"Puebla","Tlachichuca","Actividades agropecuarias",50.7,2016-03-31
"Puebla","Atlixco","Otras causas",3,2016-03-30
"Puebla","Tepatlaxco de Hidalgo","Intencional",2.65,2016-03-30
"Puebla","Guadalupe Victoria","Actividades agropecuarias",9.88,2016-04-01
"Puebla","Tepeyahualco","Actividades agropecuarias",507.25,2016-04-02
"Puebla","Tianguismanalco","Intencional",0.8,2016-03-31
"Puebla","Tepatlaxco de Hidalgo","Intencional",0.5,2016-03-31
"Puebla","Tlahuapan","Otras actividades productivas",1.96,2016-03-31
"Puebla","Tepatlaxco de Hidalgo","Intencional",1.5,2016-03-31
"Puebla","Teziutlán","Fogatas",4.04,2016-04-01
"Puebla","Aquixtla","Intencional",17.34,2016-04-02
"Puebla","Zacatlán","Actividades agropecuarias",11.08,2016-04-01
"Puebla","Atlixco","Intencional",0.75,2016-04-01
"Puebla","Tepatlaxco de Hidalgo","Intencional",1.5,2016-04-01
"Puebla","Lafragua","Intencional",9.58,2016-04-02
"Puebla","Vicente Guerrero","Actividades agropecuarias",0.75,2016-04-02
"Puebla","Ahuazotepec","Intencional",0.29,2016-04-02
"Puebla","Tlachichuca","Actividades agropecuarias",42.5,2016-04-03
